,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
47,2022-11-11 19:39:36.928,0,0,0,0,False,8,car,0 days 00:00:13.453000,0 days 00:53:32.138000
48,2022-11-11 19:39:37.248,0,0,0,0,False,8,car,0 days 00:00:13.773000,0 days 00:53:32.458000
49,2022-11-11 19:39:37.408,0,0,0,0,False,8,car,0 days 00:00:13.933000,0 days 00:53:32.618000
50,2022-11-11 19:39:37.688,0,0,0,0,False,8,car,0 days 00:00:14.213000,0 days 00:53:32.898000
51,2022-11-11 19:39:37.928,0,0,0,0,False,8,car,0 days 00:00:14.453000,0 days 00:53:33.138000
52,2022-11-11 19:39:38.168,0,1,0,0,False,8,car,0 days 00:00:14.693000,0 days 00:53:33.378000
53,2022-11-11 19:39:38.568,0,0,0,0,False,8,car,0 days 00:00:15.093000,0 days 00:53:33.778000
54,2022-11-11 19:39:38.728,0,0,0,0,False,8,car,0 days 00:00:15.253000,0 days 00:53:33.938000
55,2022-11-11 19:39:39.007,0,0,0,0,False,8,car,0 days 00:00:15.532000,0 days 00:53:34.217000
56,2022-11-11 19:39:39.327,0,2,0,0,False,8,car,0 days 00:00:15.852000,0 days 00:53:34.537000
57,2022-11-11 19:39:39.647,0,0,0,0,False,8,car,0 days 00:00:16.172000,0 days 00:53:34.857000
58,2022-11-11 19:39:39.807,0,0,0,0,False,8,car,0 days 00:00:16.332000,0 days 00:53:35.017000
59,2022-11-11 19:39:40.287,0,0,0,0,False,8,car,0 days 00:00:16.812000,0 days 00:53:35.497000
60,2022-11-11 19:39:40.487,0,0,0,0,False,8,car,0 days 00:00:17.012000,0 days 00:53:35.697000
61,2022-11-11 19:39:40.767,0,0,0,0,False,8,car,0 days 00:00:17.292000,0 days 00:53:35.977000
62,2022-11-11 19:39:40.968,0,0,0,0,False,8,car,0 days 00:00:17.493000,0 days 00:53:36.178000
63,2022-11-11 19:39:41.248,0,0,0,0,False,8,car,0 days 00:00:17.773000,0 days 00:53:36.458000
64,2022-11-11 19:39:41.448,0,0,0,0,False,8,car,0 days 00:00:17.973000,0 days 00:53:36.658000
65,2022-11-11 19:39:41.608,0,0,0,0,False,8,car,0 days 00:00:18.133000,0 days 00:53:36.818000
66,2022-11-11 19:39:42.008,0,0,0,0,False,8,car,0 days 00:00:18.533000,0 days 00:53:37.218000
67,2022-11-11 19:39:42.168,0,0,0,0,False,8,car,0 days 00:00:18.693000,0 days 00:53:37.378000
68,2022-11-11 19:39:42.328,0,1,0,0,False,8,car,0 days 00:00:18.853000,0 days 00:53:37.538000
69,2022-11-11 19:39:42.648,0,0,0,0,False,8,car,0 days 00:00:19.173000,0 days 00:53:37.858000
70,2022-11-11 19:39:43.048,0,0,0,0,False,8,car,0 days 00:00:19.573000,0 days 00:53:38.258000
71,2022-11-11 19:39:43.328,0,3,0,0,False,8,car,0 days 00:00:19.853000,0 days 00:53:38.538000
72,2022-11-11 19:39:43.688,0,0,0,0,False,8,car,0 days 00:00:20.213000,0 days 00:53:38.898000
73,2022-11-11 19:39:44.088,0,0,0,0,False,8,car,0 days 00:00:20.613000,0 days 00:53:39.298000
74,2022-11-11 19:39:44.368,0,2,0,0,False,8,car,0 days 00:00:20.893000,0 days 00:53:39.578000
75,2022-11-11 19:39:44.648,0,0,0,0,False,8,car,0 days 00:00:21.173000,0 days 00:53:39.858000
76,2022-11-11 19:39:44.968,0,0,0,0,False,8,car,0 days 00:00:21.493000,0 days 00:53:40.178000
77,2022-11-11 19:39:45.168,0,2,0,0,False,8,car,0 days 00:00:21.693000,0 days 00:53:40.378000
78,2022-11-11 19:39:45.488,0,0,0,0,False,8,car,0 days 00:00:22.013000,0 days 00:53:40.698000
79,2022-11-11 19:39:45.887,0,0,0,0,False,8,car,0 days 00:00:22.412000,0 days 00:53:41.097000
80,2022-11-11 19:39:46.167,0,0,0,0,False,8,car,0 days 00:00:22.692000,0 days 00:53:41.377000
81,2022-11-11 19:39:46.327,0,0,0,0,False,8,car,0 days 00:00:22.852000,0 days 00:53:41.537000
82,2022-11-11 19:39:46.607,0,0,0,0,False,8,car,0 days 00:00:23.132000,0 days 00:53:41.817000
83,2022-11-11 19:39:46.967,0,0,0,0,False,8,car,0 days 00:00:23.492000,0 days 00:53:42.177000
84,2022-11-11 19:39:47.367,0,0,0,0,False,8,car,0 days 00:00:23.892000,0 days 00:53:42.577000
85,2022-11-11 19:39:47.568,0,0,0,0,False,8,car,0 days 00:00:24.093000,0 days 00:53:42.778000
86,2022-11-11 19:39:48.008,0,0,0,0,False,8,car,0 days 00:00:24.533000,0 days 00:53:43.218000
87,2022-11-11 19:39:48.248,0,0,0,0,False,8,car,0 days 00:00:24.773000,0 days 00:53:43.458000
88,2022-11-11 19:39:48.608,0,0,0,0,False,8,car,0 days 00:00:25.133000,0 days 00:53:43.818000
89,2022-11-11 19:39:48.808,0,0,0,0,False,8,car,0 days 00:00:25.333000,0 days 00:53:44.018000
